Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1989","1989","°c","0.227","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1990","1990","°c","0.96","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1991","1991","°c","0.563","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1992","1992","°c","0.946","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1993","1993","°c","0.718","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1994","1994","°c","0.513","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1995","1995","°c","1.212","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1996","1996","°c","0.256","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1997","1997","°c","0.613","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1998","1998","°c","0.791","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1999","1999","°c","1.008","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","2000","2000","°c","0.474","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","2001","2001","°c","0.808","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","2002","2002","°c","1.402","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","2003","2003","°c","1.384","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","2004","2004","°c","1","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","2005","2005","°c","1.17","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","2006","2006","°c","0.741","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","2007","2007","°c","2.068","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","2008","2008","°c","0.311","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","2009","2009","°c","1.065","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","2010","2010","°c","1.083","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","2011","2011","°c","0.692","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","2012","2012","°c","0.648","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","2013","2013","°c","1.138","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","2014","2014","°c","1.181","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","2015","2015","°c","1.468","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","2016","2016","°c","1.758","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","2017","2017","°c","1.767","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","2018","2018","°c","1.298","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","2019","2019","°c","1.686","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","2020","2020","°c","2.202","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","2021","2021","°c","1.722","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","2022","2022","°c","1.524","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","2023","2023","°c","1.702","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1961","1961","°c","0.261","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1962","1962","°c","0.222","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1963","1963","°c","0.57","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1964","1964","°c","-0.406","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1965","1965","°c","-0.451","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1966","1966","°c","0.755","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1967","1967","°c","-0.561","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1968","1968","°c","-0.414","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1969","1969","°c","-0.659","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1970","1970","°c","0.616","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1971","1971","°c","-0.032","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1972","1972","°c","-1.303","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1973","1973","°c","0.953","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1974","1974","°c","-0.426","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1975","1975","°c","0.085","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1976","1976","°c","-0.447","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1977","1977","°c","0.774","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1978","1978","°c","0.162","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1979","1979","°c","-0.123","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1980","1980","°c","0.204","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1981","1981","°c","0.962","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1982","1982","°c","-0.223","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1983","1983","°c","0.632","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1984","1984","°c","-0.246","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1985","1985","°c","-0.58","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1986","1986","°c","0.157","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1987","1987","°c","1.212","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1988","1988","°c","0.428","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1989","1989","°c","0.187","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1990","1990","°c","0.758","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1991","1991","°c","0.644","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1992","1992","°c","0.775","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1993","1993","°c","0.715","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1994","1994","°c","-0.268","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1995","1995","°c","1.683","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1996","1996","°c","0.787","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1997","1997","°c","0.777","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1998","1998","°c","1.745","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","1999","1999","°c","1.729","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","2000","2000","°c","1.23","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","2001","2001","°c","0.598","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","2002","2002","°c","1.821","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","2003","2003","°c","0.91","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","2004","2004","°c","1.375","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","2005","2005","°c","0.823","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","2006","2006","°c","1.374","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","2007","2007","°c","1.202","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","2008","2008","°c","0.641","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","2009","2009","°c","1.1","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","2010","2010","°c","1.28","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","2011","2011","°c","0.544","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","2012","2012","°c","0.518","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","2013","2013","°c","1.315","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","2014","2014","°c","0.543","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","2015","2015","°c","1.657","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","2016","2016","°c","2.585","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","2017","2017","°c","1.898","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","2018","2018","°c","1.345","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","2019","2019","°c","1.319","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","2020","2020","°c","2.338","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","2021","2021","°c","1.008","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","2022","2022","°c","1.279","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7002","February","2023","2023","°c","1.566","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1961","1961","°c","0.25","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1962","1962","°c","0.277","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1963","1963","°c","-0.232","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1964","1964","°c","-0.288","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1965","1965","°c","-0.27","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1966","1966","°c","0.395","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1967","1967","°c","-0.121","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1968","1968","°c","0.418","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1969","1969","°c","-0.019","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1970","1970","°c","-0.047","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1971","1971","°c","-0.003","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1972","1972","°c","-0.175","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1973","1973","°c","0.709","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1974","1974","°c","0.018","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1975","1975","°c","0.203","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1976","1976","°c","-0.865","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1977","1977","°c","0.967","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1978","1978","°c","0.362","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1979","1979","°c","0.438","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1980","1980","°c","0.003","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1981","1981","°c","1.136","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1982","1982","°c","0.004","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1983","1983","°c","0.39","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1984","1984","°c","0.298","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1985","1985","°c","0.006","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1986","1986","°c","0.269","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1987","1987","°c","-0.064","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1988","1988","°c","0.671","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1989","1989","°c","0.512","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1990","1990","°c","1.305","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1991","1991","°c","0.657","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1992","1992","°c","0.713","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1993","1993","°c","0.794","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1994","1994","°c","0.705","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1995","1995","°c","0.84","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1996","1996","°c","0.277","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1997","1997","°c","0.816","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1998","1998","°c","0.961","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","1999","1999","°c","0.365","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","2000","2000","°c","1.147","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","2001","2001","°c","1.199","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","2002","2002","°c","1.6","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","2003","2003","°c","0.817","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","2004","2004","°c","1.312","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","2005","2005","°c","1.323","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","2006","2006","°c","1.202","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","2007","2007","°c","1.255","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","2008","2008","°c","1.819","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","2009","2009","°c","0.972","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","2010","2010","°c","1.573","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","2011","2011","°c","1.006","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","2012","2012","°c","0.875","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","2013","2013","°c","1.119","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","2014","2014","°c","1.427","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","2015","2015","°c","1.734","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","2016","2016","°c","2.589","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","2017","2017","°c","1.979","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","2018","2018","°c","1.646","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","2019","2019","°c","2.088","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","2020","2020","°c","2.241","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","2021","2021","°c","1.622","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","2022","2022","°c","1.704","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7003","March","2023","2023","°c","2.119","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1961","1961","°c","0.279","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1962","1962","°c","0.022","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1963","1963","°c","0.005","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1964","1964","°c","-0.167","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1965","1965","°c","-0.571","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1966","1966","°c","-0.018","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1967","1967","°c","-0.181","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1968","1968","°c","-0.144","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1969","1969","°c","0.049","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1970","1970","°c","0.359","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1971","1971","°c","-0.191","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1972","1972","°c","-0.133","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1973","1973","°c","0.439","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1974","1974","°c","-0.169","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1975","1975","°c","0.249","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1976","1976","°c","-0.034","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1977","1977","°c","0.443","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1978","1978","°c","0.168","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1979","1979","°c","0.084","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1980","1980","°c","0.568","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1981","1981","°c","0.378","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1982","1982","°c","0.102","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1983","1983","°c","0.451","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1984","1984","°c","0.349","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1985","1985","°c","0.249","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1986","1986","°c","0.511","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1987","1987","°c","0.295","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1988","1988","°c","0.711","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1989","1989","°c","0.6","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1990","1990","°c","0.573","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1991","1991","°c","0.62","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1992","1992","°c","0.254","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1993","1993","°c","0.388","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1994","1994","°c","0.615","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1995","1995","°c","0.705","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1996","1996","°c","0.089","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1997","1997","°c","0.613","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1998","1998","°c","1.321","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","1999","1999","°c","0.808","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","2000","2000","°c","1.376","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","2001","2001","°c","0.978","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","2002","2002","°c","0.799","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","2003","2003","°c","0.872","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","2004","2004","°c","0.882","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","2005","2005","°c","1.415","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","2006","2006","°c","0.771","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","2007","2007","°c","1.495","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","2008","2008","°c","0.827","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","2009","2009","°c","1.093","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","2010","2010","°c","1.534","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","2011","2011","°c","1.224","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","2012","2012","°c","1.529","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","2013","2013","°c","0.882","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","2014","2014","°c","1.451","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","2015","2015","°c","1.179","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","2016","2016","°c","2.036","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","2017","2017","°c","1.446","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","2018","2018","°c","1.322","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","2019","2019","°c","1.654","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","2020","2020","°c","1.581","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","2021","2021","°c","1.426","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","2022","2022","°c","1.479","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7004","April","2023","2023","°c","1.13","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7005","May","1961","1961","°c","0.366","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7005","May","1962","1962","°c","-0.187","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7005","May","1963","1963","°c","-0.025","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7005","May","1964","1964","°c","-0.098","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7005","May","1965","1965","°c","-0.135","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7005","May","1966","1966","°c","-0.069","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7005","May","1967","1967","°c","0.229","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7005","May","1968","1968","°c","-0.339","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7005","May","1969","1969","°c","0.226","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7005","May","1970","1970","°c","0.162","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7005","May","1971","1971","°c","-0.016","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7005","May","1972","1972","°c","-0.047","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7005","May","1973","1973","°c","0.292","E","Estimated value"
