Domain,Area,Element,Months,Year,Value
"Temperature change on land","Northern America","Temperature change","March","2012","3.028"
"Temperature change on land","Northern America","Temperature change","March","2013","1.293"
"Temperature change on land","Northern America","Temperature change","March","2014","-0.645"
"Temperature change on land","Northern America","Temperature change","March","2015","2.022"
"Temperature change on land","Northern America","Temperature change","March","2016","3.435"
"Temperature change on land","Northern America","Temperature change","March","2017","1.225"
"Temperature change on land","Northern America","Temperature change","March","2018","2.06"
"Temperature change on land","Northern America","Temperature change","March","2019","2.258"
"Temperature change on land","Northern America","Temperature change","March","2020","1.639"
"Temperature change on land","Northern America","Temperature change","March","2021","2.271"
"Temperature change on land","Northern America","Temperature change","March","2022","2.257"
"Temperature change on land","Northern America","Temperature change","March","2023","0.917"
"Temperature change on land","Northern America","Temperature change","April","1961","-0.704"
"Temperature change on land","Northern America","Temperature change","April","1962","-0.149"
"Temperature change on land","Northern America","Temperature change","April","1963","0.899"
"Temperature change on land","Northern America","Temperature change","April","1964","-0.783"
"Temperature change on land","Northern America","Temperature change","April","1965","0.343"
"Temperature change on land","Northern America","Temperature change","April","1966","-0.855"
"Temperature change on land","Northern America","Temperature change","April","1967","-0.968"
"Temperature change on land","Northern America","Temperature change","April","1968","0.137"
"Temperature change on land","Northern America","Temperature change","April","1969","0.777"
"Temperature change on land","Northern America","Temperature change","April","1970","-0.578"
"Temperature change on land","Northern America","Temperature change","April","1971","-0.085"
"Temperature change on land","Northern America","Temperature change","April","1972","-1.448"
"Temperature change on land","Northern America","Temperature change","April","1973","-0.431"
"Temperature change on land","Northern America","Temperature change","April","1974","-0.498"
"Temperature change on land","Northern America","Temperature change","April","1975","-1.041"
"Temperature change on land","Northern America","Temperature change","April","1976","1.337"
"Temperature change on land","Northern America","Temperature change","April","1977","1.318"
"Temperature change on land","Northern America","Temperature change","April","1978","0.054"
"Temperature change on land","Northern America","Temperature change","April","1979","-0.123"
"Temperature change on land","Northern America","Temperature change","April","1980","1.197"
"Temperature change on land","Northern America","Temperature change","April","1981","0.692"
"Temperature change on land","Northern America","Temperature change","April","1982","-1.64"
"Temperature change on land","Northern America","Temperature change","April","1983","-0.421"
"Temperature change on land","Northern America","Temperature change","April","1984","0.777"
"Temperature change on land","Northern America","Temperature change","April","1985","-0.184"
"Temperature change on land","Northern America","Temperature change","April","1986","0.348"
"Temperature change on land","Northern America","Temperature change","April","1987","1.448"
"Temperature change on land","Northern America","Temperature change","April","1988","1.382"
"Temperature change on land","Northern America","Temperature change","April","1989","1.202"
"Temperature change on land","Northern America","Temperature change","April","1990","1.035"
"Temperature change on land","Northern America","Temperature change","April","1991","1.289"
"Temperature change on land","Northern America","Temperature change","April","1992","-0.159"
"Temperature change on land","Northern America","Temperature change","April","1993","0.591"
"Temperature change on land","Northern America","Temperature change","April","1994","0.589"
"Temperature change on land","Northern America","Temperature change","April","1995","0.711"
"Temperature change on land","Northern America","Temperature change","April","1996","0.232"
"Temperature change on land","Northern America","Temperature change","April","1997","-0.464"
"Temperature change on land","Northern America","Temperature change","April","1998","2.292"
"Temperature change on land","Northern America","Temperature change","April","1999","1.488"
"Temperature change on land","Northern America","Temperature change","April","2000","0.655"
"Temperature change on land","Northern America","Temperature change","April","2001","1.123"
"Temperature change on land","Northern America","Temperature change","April","2002","-0.312"
"Temperature change on land","Northern America","Temperature change","April","2003","0.61"
"Temperature change on land","Northern America","Temperature change","April","2004","0.836"
"Temperature change on land","Northern America","Temperature change","April","2005","1.927"
"Temperature change on land","Northern America","Temperature change","April","2006","2.457"
"Temperature change on land","Northern America","Temperature change","April","2007","0.969"
"Temperature change on land","Northern America","Temperature change","April","2008","0.371"
"Temperature change on land","Northern America","Temperature change","April","2009","0.635"
"Temperature change on land","Northern America","Temperature change","April","2010","3.377"
"Temperature change on land","Northern America","Temperature change","April","2011","-0.133"
"Temperature change on land","Northern America","Temperature change","April","2012","1.862"
"Temperature change on land","Northern America","Temperature change","April","2013","-0.822"
"Temperature change on land","Northern America","Temperature change","April","2014","0.168"
"Temperature change on land","Northern America","Temperature change","April","2015","1.206"
"Temperature change on land","Northern America","Temperature change","April","2016","1.296"
"Temperature change on land","Northern America","Temperature change","April","2017","1.379"
"Temperature change on land","Northern America","Temperature change","April","2018","-0.707"
"Temperature change on land","Northern America","Temperature change","April","2019","1.188"
"Temperature change on land","Northern America","Temperature change","April","2020","0.282"
"Temperature change on land","Northern America","Temperature change","April","2021","1.422"
"Temperature change on land","Northern America","Temperature change","April","2022","0.045"
"Temperature change on land","Northern America","Temperature change","April","2023","0.954"
"Temperature change on land","Northern America","Temperature change","May","1961","-0.597"
"Temperature change on land","Northern America","Temperature change","May","1962","-0.252"
"Temperature change on land","Northern America","Temperature change","May","1963","-0.14"
"Temperature change on land","Northern America","Temperature change","May","1964","-0.02"
"Temperature change on land","Northern America","Temperature change","May","1965","0.12"
"Temperature change on land","Northern America","Temperature change","May","1966","-0.338"
"Temperature change on land","Northern America","Temperature change","May","1967","-0.899"
"Temperature change on land","Northern America","Temperature change","May","1968","-0.532"
"Temperature change on land","Northern America","Temperature change","May","1969","0.013"
"Temperature change on land","Northern America","Temperature change","May","1970","-0.446"
"Temperature change on land","Northern America","Temperature change","May","1971","-0.316"
"Temperature change on land","Northern America","Temperature change","May","1972","-0.226"
"Temperature change on land","Northern America","Temperature change","May","1973","0.289"
"Temperature change on land","Northern America","Temperature change","May","1974","-0.479"
"Temperature change on land","Northern America","Temperature change","May","1975","0.668"
"Temperature change on land","Northern America","Temperature change","May","1976","-0.065"
"Temperature change on land","Northern America","Temperature change","May","1977","1.169"
"Temperature change on land","Northern America","Temperature change","May","1978","-0.059"
"Temperature change on land","Northern America","Temperature change","May","1979","-0.085"
"Temperature change on land","Northern America","Temperature change","May","1980","1.068"
"Temperature change on land","Northern America","Temperature change","May","1981","0.498"
"Temperature change on land","Northern America","Temperature change","May","1982","-0.029"
"Temperature change on land","Northern America","Temperature change","May","1983","-1.484"
"Temperature change on land","Northern America","Temperature change","May","1984","0.05"
"Temperature change on land","Northern America","Temperature change","May","1985","0.748"
"Temperature change on land","Northern America","Temperature change","May","1986","0.666"
"Temperature change on land","Northern America","Temperature change","May","1987","0.553"
"Temperature change on land","Northern America","Temperature change","May","1988","0.771"
"Temperature change on land","Northern America","Temperature change","May","1989","0.028"
"Temperature change on land","Northern America","Temperature change","May","1990","-0.002"
"Temperature change on land","Northern America","Temperature change","May","1991","1.154"
"Temperature change on land","Northern America","Temperature change","May","1992","-0.343"
"Temperature change on land","Northern America","Temperature change","May","1993","0.982"
"Temperature change on land","Northern America","Temperature change","May","1994","0.671"
"Temperature change on land","Northern America","Temperature change","May","1995","0.45"
"Temperature change on land","Northern America","Temperature change","May","1996","-0.154"
"Temperature change on land","Northern America","Temperature change","May","1997","-0.212"
"Temperature change on land","Northern America","Temperature change","May","1998","2.04"
"Temperature change on land","Northern America","Temperature change","May","1999","0.4"
"Temperature change on land","Northern America","Temperature change","May","2000","0.406"
"Temperature change on land","Northern America","Temperature change","May","2001","1.092"
"Temperature change on land","Northern America","Temperature change","May","2002","-0.754"
"Temperature change on land","Northern America","Temperature change","May","2003","0.862"
"Temperature change on land","Northern America","Temperature change","May","2004","-0.086"
"Temperature change on land","Northern America","Temperature change","May","2005","0.728"
"Temperature change on land","Northern America","Temperature change","May","2006","1.778"
"Temperature change on land","Northern America","Temperature change","May","2007","0.555"
"Temperature change on land","Northern America","Temperature change","May","2008","0.548"
"Temperature change on land","Northern America","Temperature change","May","2009","-0.054"
"Temperature change on land","Northern America","Temperature change","May","2010","0.725"
"Temperature change on land","Northern America","Temperature change","May","2011","0.253"
"Temperature change on land","Northern America","Temperature change","May","2012","1.547"
"Temperature change on land","Northern America","Temperature change","May","2013","0.276"
"Temperature change on land","Northern America","Temperature change","May","2014","1.047"
"Temperature change on land","Northern America","Temperature change","May","2015","1.203"
"Temperature change on land","Northern America","Temperature change","May","2016","1.501"
"Temperature change on land","Northern America","Temperature change","May","2017","1.022"
"Temperature change on land","Northern America","Temperature change","May","2018","1.56"
"Temperature change on land","Northern America","Temperature change","May","2019","0.715"
"Temperature change on land","Northern America","Temperature change","May","2020","0.447"
"Temperature change on land","Northern America","Temperature change","May","2021","0.398"
"Temperature change on land","Northern America","Temperature change","May","2022","0.807"
"Temperature change on land","Northern America","Temperature change","May","2023","2.567"
"Temperature change on land","Northern America","Temperature change","June","1961","0.559"
"Temperature change on land","Northern America","Temperature change","June","1962","0.008"
"Temperature change on land","Northern America","Temperature change","June","1963","-0.164"
"Temperature change on land","Northern America","Temperature change","June","1964","-0.444"
"Temperature change on land","Northern America","Temperature change","June","1965","-0.831"
"Temperature change on land","Northern America","Temperature change","June","1966","0.034"
"Temperature change on land","Northern America","Temperature change","June","1967","-0.148"
"Temperature change on land","Northern America","Temperature change","June","1968","-0.197"
"Temperature change on land","Northern America","Temperature change","June","1969","-0.756"
"Temperature change on land","Northern America","Temperature change","June","1970","0.211"
"Temperature change on land","Northern America","Temperature change","June","1971","0.515"
"Temperature change on land","Northern America","Temperature change","June","1972","-0.508"
"Temperature change on land","Northern America","Temperature change","June","1973","0.435"
"Temperature change on land","Northern America","Temperature change","June","1974","0.096"
"Temperature change on land","Northern America","Temperature change","June","1975","0.413"
"Temperature change on land","Northern America","Temperature change","June","1976","-0.065"
"Temperature change on land","Northern America","Temperature change","June","1977","0.736"
"Temperature change on land","Northern America","Temperature change","June","1978","-0.418"
"Temperature change on land","Northern America","Temperature change","June","1979","-0.201"
"Temperature change on land","Northern America","Temperature change","June","1980","0.054"
"Temperature change on land","Northern America","Temperature change","June","1981","0.259"
"Temperature change on land","Northern America","Temperature change","June","1982","-0.51"
"Temperature change on land","Northern America","Temperature change","June","1983","0.221"
"Temperature change on land","Northern America","Temperature change","June","1984","0.489"
"Temperature change on land","Northern America","Temperature change","June","1985","-0.059"
"Temperature change on land","Northern America","Temperature change","June","1986","-0.024"
"Temperature change on land","Northern America","Temperature change","June","1987","0.705"
"Temperature change on land","Northern America","Temperature change","June","1988","0.998"
"Temperature change on land","Northern America","Temperature change","June","1989","0.511"
"Temperature change on land","Northern America","Temperature change","June","1990","0.795"
"Temperature change on land","Northern America","Temperature change","June","1991","0.867"
"Temperature change on land","Northern America","Temperature change","June","1992","-0.507"
"Temperature change on land","Northern America","Temperature change","June","1993","0.108"
"Temperature change on land","Northern America","Temperature change","June","1994","1.157"
"Temperature change on land","Northern America","Temperature change","June","1995","0.957"
"Temperature change on land","Northern America","Temperature change","June","1996","0.812"
"Temperature change on land","Northern America","Temperature change","June","1997","0.676"
"Temperature change on land","Northern America","Temperature change","June","1998","1.001"
"Temperature change on land","Northern America","Temperature change","June","1999","0.514"
"Temperature change on land","Northern America","Temperature change","June","2000","0.126"
"Temperature change on land","Northern America","Temperature change","June","2001","0.605"
"Temperature change on land","Northern America","Temperature change","June","2002","0.977"
"Temperature change on land","Northern America","Temperature change","June","2003","0.352"
"Temperature change on land","Northern America","Temperature change","June","2004","0.2"
"Temperature change on land","Northern America","Temperature change","June","2005","0.923"
"Temperature change on land","Northern America","Temperature change","June","2006","1.581"
"Temperature change on land","Northern America","Temperature change","June","2007","0.868"
"Temperature change on land","Northern America","Temperature change","June","2008","0.82"
"Temperature change on land","Northern America","Temperature change","June","2009","0.284"
"Temperature change on land","Northern America","Temperature change","June","2010","0.949"
"Temperature change on land","Northern America","Temperature change","June","2011","0.75"
"Temperature change on land","Northern America","Temperature change","June","2012","1.552"
"Temperature change on land","Northern America","Temperature change","June","2013","1.478"
"Temperature change on land","Northern America","Temperature change","June","2014","0.898"
"Temperature change on land","Northern America","Temperature change","June","2015","1.544"
"Temperature change on land","Northern America","Temperature change","June","2016","1.652"
"Temperature change on land","Northern America","Temperature change","June","2017","1.076"
"Temperature change on land","Northern America","Temperature change","June","2018","1.014"
"Temperature change on land","Northern America","Temperature change","June","2019","0.9"
"Temperature change on land","Northern America","Temperature change","June","2020","1.065"
"Temperature change on land","Northern America","Temperature change","June","2021","2.026"
"Temperature change on land","Northern America","Temperature change","June","2022","1.578"
"Temperature change on land","Northern America","Temperature change","June","2023","1.585"
"Temperature change on land","Northern America","Temperature change","July","1961","0.16"
"Temperature change on land","Northern America","Temperature change","July","1962","-0.327"
"Temperature change on land","Northern America","Temperature change","July","1963","0.118"
"Temperature change on land","Northern America","Temperature change","July","1964","0.092"
"Temperature change on land","Northern America","Temperature change","July","1965","-0.674"
"Temperature change on land","Northern America","Temperature change","July","1966","0.432"
"Temperature change on land","Northern America","Temperature change","July","1967","-0.351"
"Temperature change on land","Northern America","Temperature change","July","1968","-0.444"
"Temperature change on land","Northern America","Temperature change","July","1969","-0.135"
"Temperature change on land","Northern America","Temperature change","July","1970","0.21"
"Temperature change on land","Northern America","Temperature change","July","1971","-0.337"
"Temperature change on land","Northern America","Temperature change","July","1972","-0.817"
"Temperature change on land","Northern America","Temperature change","July","1973","0.189"
"Temperature change on land","Northern America","Temperature change","July","1974","0.179"
"Temperature change on land","Northern America","Temperature change","July","1975","0.533"
"Temperature change on land","Northern America","Temperature change","July","1976","-0.149"
"Temperature change on land","Northern America","Temperature change","July","1977","0.104"
"Temperature change on land","Northern America","Temperature change","July","1978","-0.245"
"Temperature change on land","Northern America","Temperature change","July","1979","0.32"
"Temperature change on land","Northern America","Temperature change","July","1980","0.393"
"Temperature change on land","Northern America","Temperature change","July","1981","0.344"
"Temperature change on land","Northern America","Temperature change","July","1982","0.092"
"Temperature change on land","Northern America","Temperature change","July","1983","0.337"
"Temperature change on land","Northern America","Temperature change","July","1984","0.277"
"Temperature change on land","Northern America","Temperature change","July","1985","0.066"
"Temperature change on land","Northern America","Temperature change","July","1986","-0.226"
"Temperature change on land","Northern America","Temperature change","July","1987","0.171"
"Temperature change on land","Northern America","Temperature change","July","1988","0.729"
"Temperature change on land","Northern America","Temperature change","July","1989","0.842"
"Temperature change on land","Northern America","Temperature change","July","1990","0.41"
"Temperature change on land","Northern America","Temperature change","July","1991","0.32"
"Temperature change on land","Northern America","Temperature change","July","1992","-0.979"
"Temperature change on land","Northern America","Temperature change","July","1993","0.017"
"Temperature change on land","Northern America","Temperature change","July","1994","0.604"
"Temperature change on land","Northern America","Temperature change","July","1995","0.095"
"Temperature change on land","Northern America","Temperature change","July","1996","0.381"
"Temperature change on land","Northern America","Temperature change","July","1997","0.449"
"Temperature change on land","Northern America","Temperature change","July","1998","1.318"
"Temperature change on land","Northern America","Temperature change","July","1999","0.275"
"Temperature change on land","Northern America","Temperature change","July","2000","0.5"
"Temperature change on land","Northern America","Temperature change","July","2001","0.7"
"Temperature change on land","Northern America","Temperature change","July","2002","0.876"
"Temperature change on land","Northern America","Temperature change","July","2003","1.024"
"Temperature change on land","Northern America","Temperature change","July","2004","0.338"
"Temperature change on land","Northern America","Temperature change","July","2005","0.686"
"Temperature change on land","Northern America","Temperature change","July","2006","1.264"
"Temperature change on land","Northern America","Temperature change","July","2007","1.308"
"Temperature change on land","Northern America","Temperature change","July","2008","0.595"
"Temperature change on land","Northern America","Temperature change","July","2009","0.2"
"Temperature change on land","Northern America","Temperature change","July","2010","1.024"
"Temperature change on land","Northern America","Temperature change","July","2011","1.236"
"Temperature change on land","Northern America","Temperature change","July","2012","1.72"
"Temperature change on land","Northern America","Temperature change","July","2013","0.56"
"Temperature change on land","Northern America","Temperature change","July","2014","0.657"
"Temperature change on land","Northern America","Temperature change","July","2015","0.599"
"Temperature change on land","Northern America","Temperature change","July","2016","1.22"
"Temperature change on land","Northern America","Temperature change","July","2017","1.049"
"Temperature change on land","Northern America","Temperature change","July","2018","1.218"
"Temperature change on land","Northern America","Temperature change","July","2019","0.998"
"Temperature change on land","Northern America","Temperature change","July","2020","1.425"
"Temperature change on land","Northern America","Temperature change","July","2021","1.063"
"Temperature change on land","Northern America","Temperature change","July","2022","1.553"
"Temperature change on land","Northern America","Temperature change","July","2023","1.787"
"Temperature change on land","Northern America","Temperature change","August","1961","0.378"
"Temperature change on land","Northern America","Temperature change","August","1962","0.201"
"Temperature change on land","Northern America","Temperature change","August","1963","0.043"
"Temperature change on land","Northern America","Temperature change","August","1964","-0.646"
"Temperature change on land","Northern America","Temperature change","August","1965","-0.571"
"Temperature change on land","Northern America","Temperature change","August","1966","-0.167"
"Temperature change on land","Northern America","Temperature change","August","1967","0.051"
"Temperature change on land","Northern America","Temperature change","August","1968","-0.857"
"Temperature change on land","Northern America","Temperature change","August","1969","0.258"
"Temperature change on land","Northern America","Temperature change","August","1970","0.47"
"Temperature change on land","Northern America","Temperature change","August","1971","0.03"
"Temperature change on land","Northern America","Temperature change","August","1972","-0.115"
"Temperature change on land","Northern America","Temperature change","August","1973","0.579"
"Temperature change on land","Northern America","Temperature change","August","1974","-0.459"
"Temperature change on land","Northern America","Temperature change","August","1975","-0.168"
"Temperature change on land","Northern America","Temperature change","August","1976","-0.237"
"Temperature change on land","Northern America","Temperature change","August","1977","-0.099"
"Temperature change on land","Northern America","Temperature change","August","1978","-0.283"
"Temperature change on land","Northern America","Temperature change","August","1979","-0.322"
